"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 26 17:05:04 GMT 2022","Sat Nov 26 17:05:05 GMT 2022","1361","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByPathParam","getOnePlanetByPathParam",""
"passed","Sat Nov 26 17:05:15 GMT 2022","Sat Nov 26 17:05:17 GMT 2022","1747","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithNonExistingId","getOnePlanetWithNonExistingId",""
"unknown","Sat Nov 26 17:04:53 GMT 2022","Sat Nov 26 17:04:53 GMT 2022","0","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Sat Nov 26 17:05:11 GMT 2022","Sat Nov 26 17:05:15 GMT 2022","4233","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Sat Nov 26 17:05:49 GMT 2022","Sat Nov 26 17:05:54 GMT 2022","5390","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByPathParam","getOneFilmByPathParam",""
"passed","Sat Nov 26 17:06:45 GMT 2022","Sat Nov 26 17:06:45 GMT 2022","543","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"passed","Sat Nov 26 17:06:07 GMT 2022","Sat Nov 26 17:06:12 GMT 2022","4808","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Sat Nov 26 17:05:03 GMT 2022","Sat Nov 26 17:05:04 GMT 2022","542","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByInvalidQueryParam","getOnePlanetByInvalidQueryParam",""
"passed","Sat Nov 26 17:06:12 GMT 2022","Sat Nov 26 17:06:15 GMT 2022","3340","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"unknown","Sat Nov 26 17:04:53 GMT 2022","Sat Nov 26 17:04:53 GMT 2022","0","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Sat Nov 26 17:04:56 GMT 2022","Sat Nov 26 17:04:57 GMT 2022","669","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByPathParam","getOneVehicleByPathParam",""
"passed","Sat Nov 26 17:05:00 GMT 2022","Sat Nov 26 17:05:01 GMT 2022","721","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Sat Nov 26 17:06:39 GMT 2022","Sat Nov 26 17:06:40 GMT 2022","1330","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"passed","Sat Nov 26 17:05:17 GMT 2022","Sat Nov 26 17:05:47 GMT 2022","29777","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getAllFilms","getAllFilms",""
"passed","Sat Nov 26 17:05:05 GMT 2022","Sat Nov 26 17:05:08 GMT 2022","2864","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Sat Nov 26 17:06:40 GMT 2022","Sat Nov 26 17:06:41 GMT 2022","569","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getAllStarships","getAllStarships",""
"passed","Sat Nov 26 17:05:47 GMT 2022","Sat Nov 26 17:05:49 GMT 2022","2067","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByInvalidQueryParam","getOneFilmByInvalidQueryParam",""
"passed","Sat Nov 26 17:06:43 GMT 2022","Sat Nov 26 17:06:43 GMT 2022","611","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Sat Nov 26 17:06:28 GMT 2022","Sat Nov 26 17:06:33 GMT 2022","4888","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByPathParam","getOneSpeciesByPathParam",""
"passed","Sat Nov 26 17:05:02 GMT 2022","Sat Nov 26 17:05:03 GMT 2022","1116","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getAllPlanets","getAllPlanets",""
"passed","Sat Nov 26 17:06:23 GMT 2022","Sat Nov 26 17:06:25 GMT 2022","2911","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOnePlanetWithNonExistingId","getOnePlanetWithNonExistingId",""
"passed","Sat Nov 26 17:04:59 GMT 2022","Sat Nov 26 17:04:59 GMT 2022","677","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Sat Nov 26 17:04:56 GMT 2022","Sat Nov 26 17:04:56 GMT 2022","592","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"unknown","Sat Nov 26 17:04:52 GMT 2022","Sat Nov 26 17:04:52 GMT 2022","5","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Sat Nov 26 17:05:08 GMT 2022","Sat Nov 26 17:05:11 GMT 2022","3130","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Sat Nov 26 17:06:43 GMT 2022","Sat Nov 26 17:06:44 GMT 2022","625","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Sat Nov 26 17:06:15 GMT 2022","Sat Nov 26 17:06:23 GMT 2022","7038","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getAllSpecies","getAllSpecies",""
"passed","Sat Nov 26 17:06:02 GMT 2022","Sat Nov 26 17:06:07 GMT 2022","5016","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Sat Nov 26 17:06:25 GMT 2022","Sat Nov 26 17:06:28 GMT 2022","2199","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByInvalidQueryParam","getOneSpeciesByInvalidQueryParam",""
"passed","Sat Nov 26 17:06:33 GMT 2022","Sat Nov 26 17:06:37 GMT 2022","4510","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"passed","Sat Nov 26 17:05:02 GMT 2022","Sat Nov 26 17:05:02 GMT 2022","539","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Sat Nov 26 17:04:53 GMT 2022","Sat Nov 26 17:04:56 GMT 2022","3256","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getAllVehicles","getAllVehicles",""
"passed","Sat Nov 26 17:05:54 GMT 2022","Sat Nov 26 17:06:02 GMT 2022","7890","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"unknown","Sat Nov 26 17:04:53 GMT 2022","Sat Nov 26 17:04:53 GMT 2022","0","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Sat Nov 26 17:06:44 GMT 2022","Sat Nov 26 17:06:45 GMT 2022","533","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithNonExistingId","getOneStarshipWithNonExistingId",""
"passed","Sat Nov 26 17:06:41 GMT 2022","Sat Nov 26 17:06:42 GMT 2022","689","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Sat Nov 26 17:06:42 GMT 2022","Sat Nov 26 17:06:43 GMT 2022","620","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Sat Nov 26 17:05:01 GMT 2022","Sat Nov 26 17:05:02 GMT 2022","741","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
