"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 22:03:14 GMT 2022","Tue Nov 29 22:03:15 GMT 2022","1000","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 29 22:03:38 GMT 2022","Tue Nov 29 22:03:39 GMT 2022","1164","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getAllFilms","getAllFilms",""
"passed","Tue Nov 29 22:03:36 GMT 2022","Tue Nov 29 22:03:37 GMT 2022","876","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonWithInvalidId","getOnePersonWithInvalidId",""
"passed","Tue Nov 29 22:03:16 GMT 2022","Tue Nov 29 22:03:17 GMT 2022","1062","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"unknown","Tue Nov 29 22:03:07 GMT 2022","Tue Nov 29 22:03:07 GMT 2022","0","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Tue Nov 29 22:04:01 GMT 2022","Tue Nov 29 22:04:02 GMT 2022","849","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithNonExistingId","getOneStarshipWithNonExistingId",""
"passed","Tue Nov 29 22:03:07 GMT 2022","Tue Nov 29 22:03:11 GMT 2022","3722","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getAllVehicles","getAllVehicles",""
"passed","Tue Nov 29 22:03:27 GMT 2022","Tue Nov 29 22:03:28 GMT 2022","938","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getAllPeople","getAllPeople",""
"passed","Tue Nov 29 22:03:13 GMT 2022","Tue Nov 29 22:03:14 GMT 2022","1134","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 29 22:03:18 GMT 2022","Tue Nov 29 22:03:19 GMT 2022","980","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Tue Nov 29 22:03:19 GMT 2022","Tue Nov 29 22:03:20 GMT 2022","859","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Tue Nov 29 22:03:45 GMT 2022","Tue Nov 29 22:03:46 GMT 2022","970","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getAllSpecies","getAllSpecies",""
"passed","Tue Nov 29 22:03:25 GMT 2022","Tue Nov 29 22:03:26 GMT 2022","1118","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Tue Nov 29 22:03:44 GMT 2022","Tue Nov 29 22:03:45 GMT 2022","861","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"passed","Tue Nov 29 22:03:31 GMT 2022","Tue Nov 29 22:03:33 GMT 2022","1884","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonByQueryParam","getOnePersonByQueryParam",""
"passed","Tue Nov 29 22:03:28 GMT 2022","Tue Nov 29 22:03:29 GMT 2022","863","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonByInvalidQueryParam","getOnePersonByInvalidQueryParam",""
"unknown","Tue Nov 29 22:03:07 GMT 2022","Tue Nov 29 22:03:07 GMT 2022","4","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Tue Nov 29 22:03:39 GMT 2022","Tue Nov 29 22:03:40 GMT 2022","1006","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByInvalidQueryParam","getOneFilmByInvalidQueryParam",""
"passed","Tue Nov 29 22:03:49 GMT 2022","Tue Nov 29 22:03:51 GMT 2022","1879","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"passed","Tue Nov 29 22:03:24 GMT 2022","Tue Nov 29 22:03:25 GMT 2022","1091","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Tue Nov 29 22:03:56 GMT 2022","Tue Nov 29 22:03:57 GMT 2022","970","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Tue Nov 29 22:03:55 GMT 2022","Tue Nov 29 22:03:56 GMT 2022","906","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getAllStarships","getAllStarships",""
"passed","Tue Nov 29 22:03:29 GMT 2022","Tue Nov 29 22:03:31 GMT 2022","1841","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonByPathParam","getOnePersonByPathParam",""
"passed","Tue Nov 29 22:03:22 GMT 2022","Tue Nov 29 22:03:23 GMT 2022","962","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByPathParam","getOnePlanetByPathParam",""
"passed","Tue Nov 29 22:03:34 GMT 2022","Tue Nov 29 22:03:36 GMT 2022","1856","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonByQueryParam","getOnePersonByQueryParam",""
"passed","Tue Nov 29 22:03:53 GMT 2022","Tue Nov 29 22:03:55 GMT 2022","1809","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"passed","Tue Nov 29 22:03:41 GMT 2022","Tue Nov 29 22:03:42 GMT 2022","983","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Tue Nov 29 22:03:26 GMT 2022","Tue Nov 29 22:03:27 GMT 2022","859","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithNonExistingId","getOnePlanetWithNonExistingId",""
"unknown","Tue Nov 29 22:03:07 GMT 2022","Tue Nov 29 22:03:07 GMT 2022","0","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Tue Nov 29 22:03:12 GMT 2022","Tue Nov 29 22:03:13 GMT 2022","1014","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByPathParam","getOneVehicleByPathParam",""
"passed","Tue Nov 29 22:03:33 GMT 2022","Tue Nov 29 22:03:34 GMT 2022","1838","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonByQueryParam","getOnePersonByQueryParam",""
"passed","Tue Nov 29 22:03:57 GMT 2022","Tue Nov 29 22:03:58 GMT 2022","999","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Tue Nov 29 22:03:59 GMT 2022","Tue Nov 29 22:04:00 GMT 2022","964","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Tue Nov 29 22:03:47 GMT 2022","Tue Nov 29 22:03:48 GMT 2022","866","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByInvalidQueryParam","getOneSpeciesByInvalidQueryParam",""
"passed","Tue Nov 29 22:03:21 GMT 2022","Tue Nov 29 22:03:22 GMT 2022","869","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByInvalidQueryParam","getOnePlanetByInvalidQueryParam",""
