"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Nov 30 22:48:49 GMT 2022","Wed Nov 30 22:48:49 GMT 2022","0","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Wed Nov 30 22:49:21 GMT 2022","Wed Nov 30 22:49:21 GMT 2022","732","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Wed Nov 30 22:48:57 GMT 2022","Wed Nov 30 22:48:58 GMT 2022","678","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Wed Nov 30 22:48:52 GMT 2022","Wed Nov 30 22:48:53 GMT 2022","554","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"passed","Wed Nov 30 22:49:23 GMT 2022","Wed Nov 30 22:49:23 GMT 2022","602","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"unknown","Wed Nov 30 22:48:49 GMT 2022","Wed Nov 30 22:48:49 GMT 2022","0","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Wed Nov 30 22:49:01 GMT 2022","Wed Nov 30 22:49:01 GMT 2022","615","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Wed Nov 30 22:48:56 GMT 2022","Wed Nov 30 22:48:56 GMT 2022","748","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Wed Nov 30 22:49:10 GMT 2022","Wed Nov 30 22:49:11 GMT 2022","523","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByInvalidQueryParam","getOneFilmByInvalidQueryParam",""
"passed","Wed Nov 30 22:48:53 GMT 2022","Wed Nov 30 22:48:54 GMT 2022","752","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Wed Nov 30 22:48:58 GMT 2022","Wed Nov 30 22:48:58 GMT 2022","521","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Wed Nov 30 22:49:03 GMT 2022","Wed Nov 30 22:49:05 GMT 2022","1175","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonByPathParam","getOnePersonByPathParam",""
"passed","Wed Nov 30 22:49:00 GMT 2022","Wed Nov 30 22:49:01 GMT 2022","595","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"unknown","Wed Nov 30 22:48:49 GMT 2022","Wed Nov 30 22:48:49 GMT 2022","0","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Wed Nov 30 22:49:12 GMT 2022","Wed Nov 30 22:49:13 GMT 2022","601","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
