"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 26 17:06:56 GMT 2022","Sat Nov 26 17:06:56 GMT 2022","771","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Sat Nov 26 17:05:03 GMT 2022","Sat Nov 26 17:05:04 GMT 2022","900","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Sat Nov 26 17:05:02 GMT 2022","Sat Nov 26 17:05:03 GMT 2022","1006","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByPathParam","getOneVehicleByPathParam",""
"passed","Sat Nov 26 17:06:50 GMT 2022","Sat Nov 26 17:06:52 GMT 2022","1453","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"unknown","Sat Nov 26 17:04:58 GMT 2022","Sat Nov 26 17:04:58 GMT 2022","5","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Sat Nov 26 17:05:17 GMT 2022","Sat Nov 26 17:05:23 GMT 2022","6169","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Sat Nov 26 17:06:38 GMT 2022","Sat Nov 26 17:06:39 GMT 2022","1326","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Sat Nov 26 17:06:49 GMT 2022","Sat Nov 26 17:06:50 GMT 2022","1463","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"passed","Sat Nov 26 17:05:13 GMT 2022","Sat Nov 26 17:05:17 GMT 2022","3977","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Sat Nov 26 17:06:52 GMT 2022","Sat Nov 26 17:06:53 GMT 2022","1401","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"passed","Sat Nov 26 17:06:53 GMT 2022","Sat Nov 26 17:06:54 GMT 2022","720","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getAllStarships","getAllStarships",""
