"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 19:56:03 GMT 2022","Fri Nov 18 19:56:04 GMT 2022","1232","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getAllFilms","getAllFilms",""
"passed","Fri Nov 18 19:56:12 GMT 2022","Fri Nov 18 19:56:12 GMT 2022","513","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithNonExistingId","getOnePlanetWithNonExistingId",""
"passed","Fri Nov 18 19:56:05 GMT 2022","Fri Nov 18 19:56:06 GMT 2022","784","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Fri Nov 18 19:55:54 GMT 2022","Fri Nov 18 19:55:55 GMT 2022","1723","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:55:48 GMT 2022","Fri Nov 18 19:55:51 GMT 2022","3269","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:56:04 GMT 2022","Fri Nov 18 19:56:05 GMT 2022","512","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByInvalidQueryParam","getOneFilmByInvalidQueryParam",""
"passed","Fri Nov 18 19:55:59 GMT 2022","Fri Nov 18 19:56:00 GMT 2022","685","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 19:56:09 GMT 2022","Fri Nov 18 19:56:10 GMT 2022","738","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByPathParam","getOnePlanetByPathParam",""
"passed","Fri Nov 18 19:55:26 GMT 2022","Fri Nov 18 19:55:44 GMT 2022","18302","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByPathParam","getOneVehicleByPathParam",""
"passed","Fri Nov 18 19:56:02 GMT 2022","Fri Nov 18 19:56:02 GMT 2022","527","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithNonExistingId","getOneStarshipWithNonExistingId",""
"passed","Fri Nov 18 19:55:57 GMT 2022","Fri Nov 18 19:55:58 GMT 2022","534","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Fri Nov 18 19:56:11 GMT 2022","Fri Nov 18 19:56:11 GMT 2022","624","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 19:55:56 GMT 2022","Fri Nov 18 19:55:57 GMT 2022","963","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:56:00 GMT 2022","Fri Nov 18 19:56:01 GMT 2022","648","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 19:56:10 GMT 2022","Fri Nov 18 19:56:11 GMT 2022","628","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 19:55:58 GMT 2022","Fri Nov 18 19:55:58 GMT 2022","606","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getAllStarships","getAllStarships",""
"passed","Fri Nov 18 19:55:44 GMT 2022","Fri Nov 18 19:55:48 GMT 2022","4080","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:56:02 GMT 2022","Fri Nov 18 19:56:03 GMT 2022","527","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"unknown","Fri Nov 18 19:55:15 GMT 2022","Fri Nov 18 19:55:15 GMT 2022","0","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"unknown","Fri Nov 18 19:55:15 GMT 2022","Fri Nov 18 19:55:15 GMT 2022","1","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"unknown","Fri Nov 18 19:55:15 GMT 2022","Fri Nov 18 19:55:15 GMT 2022","0","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Fri Nov 18 19:55:15 GMT 2022","Fri Nov 18 19:55:21 GMT 2022","6025","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getAllVehicles","getAllVehicles",""
"passed","Fri Nov 18 19:56:00 GMT 2022","Fri Nov 18 19:56:00 GMT 2022","847","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 19:56:08 GMT 2022","Fri Nov 18 19:56:08 GMT 2022","518","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"passed","Fri Nov 18 19:55:58 GMT 2022","Fri Nov 18 19:55:59 GMT 2022","756","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Fri Nov 18 19:56:07 GMT 2022","Fri Nov 18 19:56:08 GMT 2022","735","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Fri Nov 18 19:55:51 GMT 2022","Fri Nov 18 19:55:54 GMT 2022","2287","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:56:08 GMT 2022","Fri Nov 18 19:56:09 GMT 2022","693","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getAllPlanets","getAllPlanets",""
"passed","Fri Nov 18 19:56:05 GMT 2022","Fri Nov 18 19:56:05 GMT 2022","676","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByPathParam","getOneFilmByPathParam",""
"passed","Fri Nov 18 19:56:11 GMT 2022","Fri Nov 18 19:56:12 GMT 2022","639","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 19:56:01 GMT 2022","Fri Nov 18 19:56:02 GMT 2022","727","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 19:56:06 GMT 2022","Fri Nov 18 19:56:07 GMT 2022","703","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Fri Nov 18 19:55:21 GMT 2022","Fri Nov 18 19:55:26 GMT 2022","4573","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"passed","Fri Nov 18 19:56:09 GMT 2022","Fri Nov 18 19:56:09 GMT 2022","540","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByInvalidQueryParam","getOnePlanetByInvalidQueryParam",""
"passed","Fri Nov 18 19:55:55 GMT 2022","Fri Nov 18 19:55:56 GMT 2022","819","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"unknown","Fri Nov 18 19:55:15 GMT 2022","Fri Nov 18 19:55:15 GMT 2022","0","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
