"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 21:36:46 GMT 2022","Fri Nov 25 21:36:46 GMT 2022","717","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 25 21:36:38 GMT 2022","Fri Nov 25 21:36:41 GMT 2022","3027","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getAllVehicles","getAllVehicles",""
"passed","Fri Nov 25 21:36:43 GMT 2022","Fri Nov 25 21:36:44 GMT 2022","721","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 25 21:36:56 GMT 2022","Fri Nov 25 21:36:57 GMT 2022","616","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getAllStarships","getAllStarships",""
"passed","Fri Nov 25 21:36:56 GMT 2022","Fri Nov 25 21:36:56 GMT 2022","512","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"passed","Fri Nov 25 21:36:48 GMT 2022","Fri Nov 25 21:36:48 GMT 2022","625","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getAllPlanets","getAllPlanets",""
"passed","Fri Nov 25 21:36:53 GMT 2022","Fri Nov 25 21:36:53 GMT 2022","512","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByInvalidQueryParam","getOneFilmByInvalidQueryParam",""
"passed","Fri Nov 25 21:36:55 GMT 2022","Fri Nov 25 21:36:56 GMT 2022","693","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"unknown","Fri Nov 25 21:36:38 GMT 2022","Fri Nov 25 21:36:38 GMT 2022","0","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Fri Nov 25 21:36:42 GMT 2022","Fri Nov 25 21:36:43 GMT 2022","733","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByPathParam","getOneVehicleByPathParam",""
"passed","Fri Nov 25 21:36:54 GMT 2022","Fri Nov 25 21:36:55 GMT 2022","635","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Fri Nov 25 21:36:58 GMT 2022","Fri Nov 25 21:36:58 GMT 2022","698","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 25 21:36:48 GMT 2022","Fri Nov 25 21:36:49 GMT 2022","539","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByInvalidQueryParam","getOnePlanetByInvalidQueryParam",""
"passed","Fri Nov 25 21:36:49 GMT 2022","Fri Nov 25 21:36:50 GMT 2022","650","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 25 21:36:47 GMT 2022","Fri Nov 25 21:36:48 GMT 2022","562","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"unknown","Fri Nov 25 21:36:38 GMT 2022","Fri Nov 25 21:36:38 GMT 2022","0","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
