"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 20:07:32 GMT 2022","Fri Nov 18 20:07:33 GMT 2022","690","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"passed","Fri Nov 18 20:07:40 GMT 2022","Fri Nov 18 20:07:41 GMT 2022","804","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByPathParam","getOnePlanetByPathParam",""
"passed","Fri Nov 18 20:07:38 GMT 2022","Fri Nov 18 20:07:39 GMT 2022","668","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"passed","Fri Nov 18 20:07:23 GMT 2022","Fri Nov 18 20:07:24 GMT 2022","879","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 20:07:31 GMT 2022","Fri Nov 18 20:07:32 GMT 2022","691","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithNonExistingId","getOneStarshipWithNonExistingId",""
"passed","Fri Nov 18 20:07:37 GMT 2022","Fri Nov 18 20:07:38 GMT 2022","744","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Fri Nov 18 20:07:30 GMT 2022","Fri Nov 18 20:07:31 GMT 2022","797","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"unknown","Fri Nov 18 20:07:16 GMT 2022","Fri Nov 18 20:07:16 GMT 2022","0","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Fri Nov 18 20:07:33 GMT 2022","Fri Nov 18 20:07:34 GMT 2022","1123","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getAllFilms","getAllFilms",""
"passed","Fri Nov 18 20:07:21 GMT 2022","Fri Nov 18 20:07:22 GMT 2022","858","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 20:07:31 GMT 2022","Fri Nov 18 20:07:31 GMT 2022","871","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 20:07:26 GMT 2022","Fri Nov 18 20:07:27 GMT 2022","749","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getAllStarships","getAllStarships",""
"passed","Fri Nov 18 20:07:27 GMT 2022","Fri Nov 18 20:07:28 GMT 2022","854","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Fri Nov 18 20:07:19 GMT 2022","Fri Nov 18 20:07:20 GMT 2022","725","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"unknown","Fri Nov 18 20:07:16 GMT 2022","Fri Nov 18 20:07:16 GMT 2022","0","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Fri Nov 18 20:07:28 GMT 2022","Fri Nov 18 20:07:29 GMT 2022","845","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 20:07:42 GMT 2022","Fri Nov 18 20:07:42 GMT 2022","740","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 20:07:36 GMT 2022","Fri Nov 18 20:07:36 GMT 2022","830","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Fri Nov 18 20:07:24 GMT 2022","Fri Nov 18 20:07:25 GMT 2022","927","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 20:07:36 GMT 2022","Fri Nov 18 20:07:37 GMT 2022","813","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Fri Nov 18 20:07:25 GMT 2022","Fri Nov 18 20:07:26 GMT 2022","834","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 20:07:21 GMT 2022","Fri Nov 18 20:07:21 GMT 2022","880","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 20:07:29 GMT 2022","Fri Nov 18 20:07:30 GMT 2022","864","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 20:07:41 GMT 2022","Fri Nov 18 20:07:42 GMT 2022","787","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 20:07:39 GMT 2022","Fri Nov 18 20:07:40 GMT 2022","680","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByInvalidQueryParam","getOnePlanetByInvalidQueryParam",""
