"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 28 18:03:53 GMT 2022","Mon Nov 28 18:03:54 GMT 2022","993","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getAllPeople","getAllPeople",""
"passed","Mon Nov 28 18:03:46 GMT 2022","Mon Nov 28 18:03:46 GMT 2022","863","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Mon Nov 28 18:03:41 GMT 2022","Mon Nov 28 18:03:42 GMT 2022","1053","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Mon Nov 28 18:03:39 GMT 2022","Mon Nov 28 18:03:40 GMT 2022","1246","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Mon Nov 28 18:04:15 GMT 2022","Mon Nov 28 18:04:16 GMT 2022","1135","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Mon Nov 28 18:03:52 GMT 2022","Mon Nov 28 18:03:53 GMT 2022","855","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithNonExistingId","getOnePlanetWithNonExistingId",""
"passed","Mon Nov 28 18:04:18 GMT 2022","Mon Nov 28 18:04:19 GMT 2022","998","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Mon Nov 28 18:03:56 GMT 2022","Mon Nov 28 18:03:57 GMT 2022","1224","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getAllFilms","getAllFilms",""
"unknown","Mon Nov 28 18:03:32 GMT 2022","Mon Nov 28 18:03:32 GMT 2022","0","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Mon Nov 28 18:04:17 GMT 2022","Mon Nov 28 18:04:18 GMT 2022","1003","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Mon Nov 28 18:03:51 GMT 2022","Mon Nov 28 18:03:52 GMT 2022","1068","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Mon Nov 28 18:04:03 GMT 2022","Mon Nov 28 18:04:04 GMT 2022","863","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"passed","Mon Nov 28 18:04:10 GMT 2022","Mon Nov 28 18:04:12 GMT 2022","1844","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"passed","Mon Nov 28 18:03:50 GMT 2022","Mon Nov 28 18:03:51 GMT 2022","1062","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Mon Nov 28 18:03:44 GMT 2022","Mon Nov 28 18:03:45 GMT 2022","1083","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
