"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Nov 18 19:58:13 GMT 2022","Fri Nov 18 19:58:13 GMT 2022","6","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Fri Nov 18 19:58:27 GMT 2022","Fri Nov 18 19:58:33 GMT 2022","5899","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:59:37 GMT 2022","Fri Nov 18 19:59:43 GMT 2022","6562","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
"passed","Fri Nov 18 19:59:56 GMT 2022","Fri Nov 18 20:00:05 GMT 2022","9067","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getAllPlanets","getAllPlanets",""
"passed","Fri Nov 18 20:00:23 GMT 2022","Fri Nov 18 20:00:30 GMT 2022","6757","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 19:58:20 GMT 2022","Fri Nov 18 19:58:23 GMT 2022","2486","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByPathParam","getOneVehicleByPathParam",""
"passed","Fri Nov 18 19:58:58 GMT 2022","Fri Nov 18 19:59:01 GMT 2022","2500","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 19:59:32 GMT 2022","Fri Nov 18 19:59:37 GMT 2022","5079","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByPathParam","getOneFilmByPathParam",""
"passed","Fri Nov 18 19:59:53 GMT 2022","Fri Nov 18 19:59:56 GMT 2022","3128","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"passed","Fri Nov 18 19:58:50 GMT 2022","Fri Nov 18 19:58:52 GMT 2022","2639","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Fri Nov 18 19:58:43 GMT 2022","Fri Nov 18 19:58:45 GMT 2022","1760","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Fri Nov 18 19:58:37 GMT 2022","Fri Nov 18 19:58:40 GMT 2022","3485","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:58:33 GMT 2022","Fri Nov 18 19:58:37 GMT 2022","3751","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 20:00:15 GMT 2022","Fri Nov 18 20:00:19 GMT 2022","4320","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 19:58:56 GMT 2022","Fri Nov 18 19:58:58 GMT 2022","1995","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 19:59:04 GMT 2022","Fri Nov 18 19:59:07 GMT 2022","2843","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"unknown","Fri Nov 18 19:58:13 GMT 2022","Fri Nov 18 19:58:13 GMT 2022","0","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"unknown","Fri Nov 18 19:58:13 GMT 2022","Fri Nov 18 19:58:13 GMT 2022","0","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Fri Nov 18 19:58:40 GMT 2022","Fri Nov 18 19:58:43 GMT 2022","2290","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
