"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 22:54:06 GMT 2022","Sun Dec 04 22:54:07 GMT 2022","920","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getAllSpecies","getAllSpecies",""
"passed","Sun Dec 04 22:53:54 GMT 2022","Sun Dec 04 22:53:55 GMT 2022","1848","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonByQueryParam","getOnePersonByQueryParam",""
"passed","Sun Dec 04 22:54:12 GMT 2022","Sun Dec 04 22:54:14 GMT 2022","1771","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByQueryParam","getOneSpeciesByQueryParam",""
"passed","Sun Dec 04 22:53:59 GMT 2022","Sun Dec 04 22:54:00 GMT 2022","1160","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getAllFilms","getAllFilms",""
"passed","Sun Dec 04 22:54:17 GMT 2022","Sun Dec 04 22:54:18 GMT 2022","959","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByPathParam","getOneStarshipByPathParam",""
"passed","Sun Dec 04 22:54:09 GMT 2022","Sun Dec 04 22:54:11 GMT 2022","1965","Surefire suite","Surefire test","species.GetSpeciesTest","species.GetSpeciesTest","getOneSpeciesByPathParam","getOneSpeciesByPathParam",""
"passed","Sun Dec 04 22:54:01 GMT 2022","Sun Dec 04 22:54:02 GMT 2022","937","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByPathParam","getOneFilmByPathParam",""
"passed","Sun Dec 04 22:53:47 GMT 2022","Sun Dec 04 22:53:48 GMT 2022","865","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetWithNonExistingId","getOnePlanetWithNonExistingId",""
"passed","Sun Dec 04 22:53:33 GMT 2022","Sun Dec 04 22:53:34 GMT 2022","1131","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByPathParam","getOneVehicleByPathParam",""
"passed","Sun Dec 04 22:54:03 GMT 2022","Sun Dec 04 22:54:04 GMT 2022","971","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByQueryParam","getOneFilmByQueryParam",""
