"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 19:52:48 GMT 2022","Fri Nov 18 19:52:49 GMT 2022","1028","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"unknown","Fri Nov 18 19:52:33 GMT 2022","Fri Nov 18 19:52:33 GMT 2022","0","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Fri Nov 18 19:52:51 GMT 2022","Fri Nov 18 19:52:53 GMT 2022","1436","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"unknown","Fri Nov 18 19:52:32 GMT 2022","Fri Nov 18 19:52:32 GMT 2022","1","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Fri Nov 18 19:53:14 GMT 2022","Fri Nov 18 19:53:15 GMT 2022","1107","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getAllPlanets","getAllPlanets",""
"passed","Fri Nov 18 19:53:19 GMT 2022","Fri Nov 18 19:53:20 GMT 2022","1013","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 19:53:13 GMT 2022","Fri Nov 18 19:53:14 GMT 2022","887","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"passed","Fri Nov 18 19:52:50 GMT 2022","Fri Nov 18 19:52:51 GMT 2022","1231","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
"passed","Fri Nov 18 19:53:16 GMT 2022","Fri Nov 18 19:53:17 GMT 2022","940","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByPathParam","getOnePlanetByPathParam",""
"passed","Fri Nov 18 19:53:08 GMT 2022","Fri Nov 18 19:53:09 GMT 2022","949","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByInvalidQueryParam","getOneFilmByInvalidQueryParam",""
"passed","Fri Nov 18 19:52:45 GMT 2022","Fri Nov 18 19:52:46 GMT 2022","856","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Fri Nov 18 19:52:33 GMT 2022","Fri Nov 18 19:52:36 GMT 2022","3350","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getAllVehicles","getAllVehicles",""
"passed","Fri Nov 18 19:52:40 GMT 2022","Fri Nov 18 19:52:41 GMT 2022","1043","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:52:46 GMT 2022","Fri Nov 18 19:52:47 GMT 2022","1069","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getAllStarships","getAllStarships",""
"passed","Fri Nov 18 19:52:38 GMT 2022","Fri Nov 18 19:52:39 GMT 2022","1197","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"passed","Fri Nov 18 19:52:53 GMT 2022","Fri Nov 18 19:52:54 GMT 2022","995","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipWithNonExistingId","getOneStarshipWithNonExistingId",""
"passed","Fri Nov 18 19:53:18 GMT 2022","Fri Nov 18 19:53:19 GMT 2022","1000","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Fri Nov 18 19:52:44 GMT 2022","Fri Nov 18 19:52:45 GMT 2022","1074","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByQueryParam","getOneVehicleByQueryParam",""
"unknown","Fri Nov 18 19:52:33 GMT 2022","Fri Nov 18 19:52:33 GMT 2022","0","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
