"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 22:02:48 GMT 2022","Tue Nov 29 22:02:49 GMT 2022","899","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getAllFilms","getAllFilms",""
"unknown","Tue Nov 29 22:02:23 GMT 2022","Tue Nov 29 22:02:23 GMT 2022","0","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithInvalidId","Temporarily disabled because of 500 response code. Test verifies if one can send really big number as path param. The expected response code would be 404",""
"passed","Tue Nov 29 22:02:39 GMT 2022","Tue Nov 29 22:02:40 GMT 2022","1026","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getAllPeople","getAllPeople",""
"passed","Tue Nov 29 22:02:49 GMT 2022","Tue Nov 29 22:02:50 GMT 2022","760","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmByPathParam","getOneFilmByPathParam",""
"passed","Tue Nov 29 22:02:37 GMT 2022","Tue Nov 29 22:02:38 GMT 2022","817","Surefire suite","Surefire test","planets.GetPlanetTest","planets.GetPlanetTest","getOnePlanetByQueryParam","getOnePlanetByQueryParam",""
"passed","Tue Nov 29 22:02:33 GMT 2022","Tue Nov 29 22:02:34 GMT 2022","662","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleWithNonExistingId","getOneVehicleWithNonExistingId",""
"passed","Tue Nov 29 22:02:23 GMT 2022","Tue Nov 29 22:02:26 GMT 2022","3048","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getAllVehicles","getAllVehicles",""
"passed","Tue Nov 29 22:02:26 GMT 2022","Tue Nov 29 22:02:27 GMT 2022","738","Surefire suite","Surefire test","vehicles.GetVehicleTest","vehicles.GetVehicleTest","getOneVehicleByInvalidQueryParam","getOneVehicleByInvalidQueryParam",""
"passed","Tue Nov 29 22:02:46 GMT 2022","Tue Nov 29 22:02:47 GMT 2022","660","Surefire suite","Surefire test","people.GetPeopleTest","people.GetPeopleTest","getOnePersonWithInvalidId","getOnePersonWithInvalidId",""
"passed","Tue Nov 29 22:02:52 GMT 2022","Tue Nov 29 22:02:53 GMT 2022","661","Surefire suite","Surefire test","films.GetFilmTest","films.GetFilmTest","getOneFilmWithNonExistingId","getOneFilmWithNonExistingId",""
"passed","Tue Nov 29 22:03:03 GMT 2022","Tue Nov 29 22:03:04 GMT 2022","849","Surefire suite","Surefire test","starships.GetStarshipTest","starships.GetStarshipTest","getOneStarshipByQueryParam","getOneStarshipByQueryParam",""
